x,y,strain_value
-501.25,-518.05,-0.0002596664051606466
-498.7437343358396,-518.05,-0.00020926213391286345
-496.2374686716792,-518.05,-0.00019663822004510059
-493.7312030075188,-518.05,-0.00038672314426632355
-491.2249373433584,-518.05,-0.0005768080684875422
-488.718671679198,-518.05,-0.0005629919119495594
-486.2124060150376,-518.05,-0.00041906403687671346
-483.7061403508772,-518.05,-0.0003107247999562764
-481.1998746867168,-518.05,-0.00028987170613138793
-478.6936090225564,-518.05,-0.00026901861230649993
-476.187343358396,-518.05,-0.0002481655184816114
-473.68107769423557,-518.05,-0.00033117534079644506
-471.1748120300752,-518.05,-0.0004281086486575097
-468.6685463659148,-518.05,-0.0004955721318181121
-466.1622807017544,-518.05,-0.00044231054902114925
-463.656015037594,-518.05,-0.00038904896622418515
-461.14974937343356,-518.05,-0.00035794386983360927
-458.6434837092732,-518.05,-0.00037638873395185867
-456.1372180451128,-518.05,-0.0003948335980701086
-453.6309523809524,-518.05,-0.00037204572146169116
-451.124686716792,-518.05,-0.0003159752858523365
-448.61842105263156,-518.05,-0.00020488372092979234
-446.1121553884712,-518.05,-0.00029400193860820923
-443.60588972431077,-518.05,-0.00040530746708652727
-441.0996240601504,-518.05,-0.0005166129955648428
-438.59335839599,-518.05,-0.0005272765587604723
-436.08709273182956,-518.05,-0.0003449055328073296
-433.5808270676692,-518.05,-0.0001625345068541911
-431.07456140350877,-518.05,-7.538698807385201e-05
-428.5682957393484,-518.05,-0.0002680615486355871
-426.062030075188,-518.05,-0.0005127940865572523
-423.55576441102755,-518.05,-0.0005240799503302224
-421.0494987468672,-518.05,-0.0005208214024608677
-418.54323308270676,-518.05,-0.0005175628545915128
-416.0369674185464,-518.05,-0.000523826977585702
-413.530701754386,-518.05,-0.0005477224093745393
-411.02443609022555,-518.05,-0.0005716178411633769
-408.5181704260652,-518.05,-0.0005955132729522138
-406.01190476190476,-518.05,-0.00047237350735438794
-403.5056390977444,-518.05,-0.00034667782461209024
-400.99937343358397,-518.05,-0.00026793826361369176
-398.49310776942355,-518.05,-0.0004685530296882253
-395.9868421052632,-518.05,-0.0006691677957627543
-393.48057644110276,-518.05,-0.0007762690190079571
-390.9743107769424,-518.05,-0.0006923003107134327
-388.46804511278197,-518.05,-0.0006083316024189067
-385.96177944862154,-518.05,-0.0005129356037111068
-383.4555137844612,-518.05,-0.00039793965424077737
-380.94924812030075,-518.05,-0.0002760177535280136
-378.4429824561404,-518.05,-7.815050499987964e-05
-375.93671679197996,-518.05,-0.00018890768197137115
-373.43045112781954,-518.05,-0.0003843235430203029
-370.9241854636591,-518.05,-0.00046211021696778863
-368.41791979949875,-518.05,-0.0005398968909152729
-365.9116541353384,-518.05,-0.0005317826833591425
-363.40538847117796,-518.05,-0.0005149866439747822
-360.89912280701753,-518.05,-0.0004981906045904217
-358.3928571428571,-518.05,-0.00046373694089768146
-355.88659147869674,-518.05,-0.00042856045047886924
-353.3803258145364,-518.05,-0.0003933839600600572
-350.87406015037595,-518.05,-0.0004230078495662225
-348.36779448621553,-518.05,-0.00042254643406910124
-345.8615288220551,-518.05,-0.00042182176608222355
-343.35526315789474,-518.05,-0.0004368019802676651
-340.8489974937344,-518.05,-0.0004555275464092866
-338.34273182957395,-518.05,-0.00046985467179305214
-335.8364661654135,-518.05,-0.0004857041399135393
-333.3302005012531,-518.05,-0.0005091256982732662
-330.82393483709274,-518.05,-0.0005325472566329925
-328.31766917293237,-518.05,-0.0005934881343470559
-325.81140350877195,-518.05,-0.0006793491164689248
-323.3051378446115,-518.05,-0.0007652100985907937
-320.7988721804511,-518.05,-0.000687573120842307
-318.29260651629073,-518.05,-0.0005927507737214193
-315.78634085213037,-518.05,-0.0005001114577216194
-313.28007518796994,-518.05,-0.0004830050185115524
-310.7738095238095,-518.05,-0.00046589857930148543
-308.2675438596491,-518.05,-0.0004759269101429333
-305.7612781954887,-518.05,-0.0005450725915215206
-303.25501253132836,-518.05,-0.0006137986187165524
-300.74874686716794,-518.05,-0.0004846906293619088
-298.2424812030075,-518.05,-0.00041578575450601203
-295.7362155388471,-518.05,-0.0003468808796501151
-293.2299498746867,-518.05,-0.00027154493648887226
-290.72368421052636,-518.05,-9.857368360093918e-05
-288.21741854636593,-518.05,7.439756928699791e-05
-285.7111528822055,-518.05,0.000247368822174935
-283.2048872180451,-518.05,2.8394760559835163e-05
-280.6986215538847,-518.05,-0.0002905639010442394
-278.19235588972435,-518.05,-0.000497468506714574
-275.68609022556393,-518.05,-0.0005214183057712013
-273.1798245614035,-518.05,-0.0006013754174316443
-270.6735588972431,-518.05,-0.0006776607562699017
-268.1672932330827,-518.05,-0.0005791061978252372
-265.66102756892235,-518.05,-0.0004751712824287617
-263.1547619047619,-518.05,-0.00038577306185661863
-260.6484962406015,-518.05,-0.00037659282656144416
-258.1422305764411,-518.05,-0.0003674125912662698
-255.6359649122807,-518.05,7.357016499422326e-05
-253.12969924812032,-518.05,0.0002447055084445884
-250.62343358395992,-518.05,-0.0003030349650254922
-248.1171679197995,-518.05,-0.0005106689342362208
-245.6109022556391,-518.05,-0.0005774994265672808
-243.1046365914787,-518.05,-0.0005594083515178602
-240.59837092731829,-518.05,-0.0004831774739965762
-238.09210526315792,-518.05,-0.0004069465964752938
-235.5858395989975,-518.05,-0.00032814991536226474
-233.07957393483713,-518.05,-0.0002479476201076734
-230.5733082706767,-518.05,-0.0001677453248530803
-228.06704260651628,-518.05,-0.0001938028816069028
-225.56077694235591,-518.05,-0.000332118493139405
-223.0545112781955,-518.05,-0.0005099557203996695
-220.54824561403512,-518.05,-0.00043694104877033856
-218.0419799498747,-518.05,-0.00046120606321079134
-215.53571428571428,-518.05,-0.0004854710776512441
-213.0294486215539,-518.05,-0.0003805885479045693
-210.5231829573935,-518.05,-0.0001622957251556811
-208.01691729323312,-518.05,5.5997097593202e-05
-205.5106516290727,-518.05,-5.679108235749449e-05
-203.00438596491227,-518.05,-0.00030394680856172407
-200.4981203007519,-518.05,-0.0002031776108612694
-197.99185463659148,-518.05,0.0005328954285445766
-195.48558897243112,-518.05,-0.00019474536111859333
-192.9793233082707,-518.05,-0.0005081741702814181
-190.47305764411027,-518.05,-0.0004942572658159323
-187.9667919799499,-518.05,-0.0004755946238057675
-185.46052631578948,-518.05,-0.0004349970904661445
-182.9542606516291,-518.05,-0.0003943995571265225
-180.4479949874687,-518.05,-0.00035347493448139976
-177.94172932330827,-518.05,-0.0003114573548886365
-175.4354636591479,-518.05,-0.0002694397752958742
-172.92919799498748,-518.05,-0.00022742219570311096
-170.4229323308271,-518.05,-0.00023177209167417158
-167.91666666666669,-518.05,-0.00010276144464881384
-165.41040100250626,-518.05,1.3195067304606644e-05
-162.9041353383459,-518.05,-0.00016717219959889854
-160.39786967418547,-518.05,-0.0003486977266803803
-157.8916040100251,-518.05,-0.0004777035364558208
-155.38533834586468,-518.05,-0.000460324602250664
-152.87907268170426,-518.05,-0.00044294566804550713
-150.3728070175439,-518.05,-0.00044899748881623
-147.86654135338347,-518.05,-0.00047979363512029653
-145.3602756892231,-518.05,-0.00043603016271021283
-142.85401002506268,-518.05,-0.0004707898631063577
-140.34774436090225,-518.05,-0.000545488088537929
-137.8414786967419,-518.05,-0.0006201863139694986
-135.33521303258146,-518.05,-0.0006179354610595284
-132.8289473684211,-518.05,-0.00043420093281582527
-130.32268170426067,-518.05,-0.0002504664045721177
-127.81641604010025,-518.05,-0.00013013597774934348
-125.31015037593988,-518.05,-0.0002473007629738051
-122.80388471177946,-518.05,-0.000418978919144779
-120.2976190476191,-518.05,-0.00040206619449941383
-117.79135338345867,-518.05,-0.00038616354394146416
-115.28508771929825,-518.05,-0.0003702608933835145
-112.77882205513788,-518.05,-0.00037490679971561626
-110.27255639097746,-518.05,-0.00042099810045309567
-107.76629072681709,-518.05,-0.000467089401190574
-105.26002506265667,-518.05,-0.0005746134300252763
-102.75375939849624,-518.05,-0.0005413193217681378
-100.24749373433588,-518.05,-0.0004991467740330609
-97.74122807017545,-518.05,-0.0004623049206360966
-95.23496240601509,-518.05,-0.000439799657754772
-92.72869674185466,-518.05,-0.0004172943948734468
-90.22243107769424,-518.05,-0.00038191825895703883
-87.71616541353387,-518.05,-0.000324166605302702
-85.20989974937345,-518.05,-0.00026641495164836376
-82.70363408521308,-518.05,-0.0002086632979940268
-80.19736842105266,-518.05,-0.0003007898054419551
-77.69110275689223,-518.05,-0.0002352835885443893
-75.18483709273187,-518.05,-0.0002126128178887263
-72.67857142857144,-518.05,-0.0003722067347312489
-70.17230576441108,-518.05,-0.0005251318035456542
-67.66604010025065,-518.05,-0.0006120994184044419
-65.15977443609023,-518.05,-0.0005685178315610996
-62.653508771929864,-518.05,-0.0005249362447177584
-60.14724310776944,-518.05,-0.0004731641700082371
-57.640977443609074,-518.05,-0.0004037498556877733
-55.13471177944865,-518.05,-0.0003332226751082505
-52.62844611528823,-518.05,-0.0002598381550659183
-50.12218045112786,-518.05,-0.0002645816108314627
-47.61591478696744,-518.05,-0.0003037867885486542
-45.10964912280707,-518.05,-0.0003429919662658448
-42.60338345864665,-518.05,-0.0003970459018827651
-40.09711779448622,-518.05,-0.0004795509173583109
-37.59085213032586,-518.05,-0.0005620559328338549
-35.08458646616543,-518.05,-0.0006445609483094009
-32.57832080200507,-518.05,-0.0005923230179870495
-30.072055137844643,-518.05,-0.0005329094278292968
-27.56578947368422,-518.05,-0.00047349583767154394
-25.059523809523853,-518.05,-0.0004338719267531718
-22.55325814536343,-518.05,-0.0003979004799917498
-20.046992481203006,-518.05,-0.00032566832834065424
-17.54072681704264,-518.05,-0.00032877828054356863
-15.034461152882216,-518.05,-0.00047878003944077085
-12.528195488721849,-518.05,-0.0006287817983379698
-10.021929824561425,-518.05,-0.0007002214452172064
-7.515664160401002,-518.05,-0.000773616211680555
-5.009398496240635,-518.05,-0.0008454596461940423
-2.5031328320802118,-518.05,-0.0006755639858222171
0.0031328320801549125,-518.05,-0.0005029094040599612
2.5093984962405784,-518.05,-0.00036217744010177494
5.015664160401002,-518.05,-0.0002501520067718119
7.521929824561369,-518.05,-0.0003035778462905067
10.028195488721792,-518.05,-0.0003575211666705597
12.534461152882159,-518.05,-0.0004114644870506115
15.040726817042582,-518.05,-0.00045641367956269493
17.546992481203006,-518.05,-0.0005006566725452959
20.05325814536343,-518.05,-0.000544899665527897
22.55952380952374,-518.05,-0.000553294830479996
25.065789473684163,-518.05,-0.0005303703141001613
27.572055137844586,-518.05,-0.0005074457977203262
30.07832080200501,-518.05,-0.0005090043107717505
32.58458646616543,-518.05,-0.000527847383335156
35.09085213032574,-518.05,-0.0004937783054456587
37.59711779448617,-518.05,-0.0003857949406508053
40.10338345864659,-518.05,-0.00030238470496117114
42.609649122807014,-518.05,-0.00023099996387892507
45.11591478696744,-518.05,-0.00015961522279667897
47.62218045112775,-518.05,-0.00015653798274823841
50.12844611528817,-518.05,-0.00022812769605877486
52.634711779448594,-518.05,-0.00029971740936931136
55.14097744360902,-518.05,-0.0003672382016987102
57.64724310776944,-518.05,-0.00039054338603287025
60.15350877192975,-518.05,-0.00041384857036702924
62.659774436090174,-518.05,-0.0004371537547011893
65.1660401002506,-518.05,-0.0005475740563202602
67.67230576441102,-518.05,-0.0005233426487767171
70.17857142857144,-518.05,-0.0004991906297121323
72.68483709273175,-518.05,-0.0004875048136069314
75.19110275689218,-518.05,-0.00046818157338408644
77.6973684210526,-518.05,-0.00044471608992925453
